normalised_url,classifications,source_zips,match_kind,in_current_sitemap,route_family,locale,http_status,validation_status,last_crawl_export,syncing_heuristic
https://goalcurrent.live/ar/match/fixture-035,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-036,Indexed (valid examples),goalcurrent.live-Coverage-Valid-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,2026-07-07,False
https://goalcurrent.live/ar/match/fixture-039,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-041,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-043,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-048,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-050,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-058,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-059,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-061,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-078,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-079,Indexed (valid examples),goalcurrent.live-Coverage-Valid-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,2026-07-07,False
https://goalcurrent.live/ar/match/fixture-082,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-084,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/match/fixture-099,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
https://goalcurrent.live/ar/news,Indexed (valid examples),goalcurrent.live-Coverage-Valid-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,2026-07-07,False
https://goalcurrent.live/ar/premier-league,Discovered – currently not indexed|Indexed (valid examples),goalcurrent.live-Coverage-Drilldown-2026-07-22.zip|goalcurrent.live-Coverage-Validation-2026-07-22.zip,exact_normalised_in_sitemap,True,static,ar,200,,1970-01-01,False
